pk_teuna_fikt,SEMEL_YISHUV,HODESH_TEUNA,SUG_DEREH,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,PNE_KVISH,X,Y,lat,lon
2023000009,8600,4,urban not junction,holiday workday,day,Sunday,light,dry,183206.0,666306.0,32.089486559387595,34.82044425952832
2023000011,9700,5,urban not junction,non holiday,night,Sunday,severe,unknown,190185.0,673239.0,32.152209381563566,34.89415974499374
2023000013,8300,7,urban not junction,non holiday,day,Wednesday,severe,unknown,179498.0,653490.0,31.973789260874504,34.781697809472064
2023000014,0,1,not urban junction,non holiday,day,Thursday,severe,dry,209195.0,751807.0,32.8610184318989,35.09481241640597
2023000021,3000,6,urban not junction,non holiday,day,Wednesday,light,dry,223381.0,633927.0,31.798062121426177,35.245883648770956
2023000025,0,7,not urban junction,non holiday,night,Sunday,light,dry,209128.0,751164.0,32.85521996899271,35.09410378605371
2023000036,0,5,not urban not junction,non holiday,day,Sunday,severe,dry,193299.0,669269.0,32.11648533647082,34.92727660537157
2023000040,6200,1,urban junction,non holiday,day,Sunday,light,dry,175748.0,657646.0,32.01112897313014,34.74183731245132
2023000044,5000,2,urban not junction,non holiday,day,Friday,severe,unknown,176767.0,661440.0,32.04538127205087,34.75245401559715
2023000050,0,1,not urban junction,non holiday,night,Sunday,light,dry,208765.0,756649.0,32.90467372665449,35.09016243340698
2023000056,0,5,not urban not junction,non holiday,day,Tuesday,fatal,dry,191631.0,658350.0,32.017979194044514,34.90991829092299
2023000059,7600,3,urban junction,non holiday,day,Thursday,light,dry,207762.0,759167.0,32.92736767308063,35.07940954951525
2023000073,6100,5,urban junction,non holiday,day,Monday,light,dry,185084.0,665378.0,32.08117677787727,34.8403705771501
2023000074,0,3,not urban not junction,non holiday,night,Monday,severe,wet from water,186853.0,670374.0,32.126282067823624,34.85893789172698
2023000076,70,9,urban junction,non holiday,day,Monday,light,dry,166862.0,632180.0,31.781103463464472,34.64917247733326
2023000085,0,12,not urban not junction,non holiday,day,Sunday,light,dry,192493.0,715762.0,32.535717766924,34.91741679378666
2023000101,0,2,not urban junction,non holiday,night,Thursday,light,dry,176000.0,625720.0,31.723230221136063,34.745931816226346
2023000102,6000,5,urban not junction,non holiday,day,Tuesday,light,unknown,204130.0,702897.0,32.41993090107886,35.04150102424826
2023000108,3000,7,urban not junction,non holiday,day,Saturday,light,dry,223488.0,631032.0,31.771953483738745,35.24700154677626
2023000118,2600,9,urban junction,non holiday,day,Sunday,light,dry,193783.0,385959.0,29.561146584104275,34.93951788984246
2023000122,2530,2,urban not junction,non holiday,day,Thursday,fatal,wet from water,184499.0,649634.0,31.939181132004084,34.834744671272816
2023000138,0,10,not urban not junction,non holiday,day,Monday,light,dry,206153.0,727021.0,32.63749050849265,35.06266709109297
2023000149,0,3,not urban not junction,non holiday,day,Tuesday,severe,dry,180245.0,663509.0,32.06416497714752,34.78919333540365
2023000157,0,12,not urban junction,non holiday,night,Wednesday,light,dry,179023.0,613687.0,31.614823560103922,34.77832245490891
2023000165,5000,5,urban not junction,non holiday,day,Wednesday,light,dry,179376.0,663330.0,32.06252031725315,34.77999830151729
2023000186,8700,8,urban junction,non holiday,night,Thursday,light,dry,189213.0,677607.0,32.191573055935166,34.88371852600639
2023000199,0,7,not urban not junction,non holiday,night,Saturday,severe,dry,234966.0,755934.0,32.898168994091485,35.37021089573229
2023000204,3000,4,urban not junction,holiday workday,day,Monday,severe,dry,222947.0,637838.0,31.833334322308144,35.24131482707401
2023000208,3000,2,urban junction,non holiday,day,Monday,light,dry,217745.0,631262.0,31.774033574424895,35.186374560212506
2023000210,1082,4,urban not junction,non holiday,day,Thursday,light,dry,162008.0,589739.0,31.39812951049236,34.600402576201176
2023000214,0,11,not urban junction,non holiday,day,Saturday,light,dry,209402.0,758228.0,32.918917246464964,35.09695407095183
2023000217,0,10,not urban not junction,holiday,night,Saturday,light,dry,223541.0,620431.0,31.676348336441176,35.247516749781795
2023000227,0,12,not urban not junction,non holiday,night,Sunday,light,dry,216295.0,623688.0,31.705724646600824,35.17109158497225
2023000233,1020,5,urban not junction,non holiday,day,Tuesday,light,dry,192506.0,713309.0,32.51359881259689,34.917625448299134
2023000236,0,12,not urban junction,non holiday,night,Saturday,severe,dry,237093.0,729789.0,32.66238916265464,35.392447950425655
2023000238,0,12,not urban junction,non holiday,night,Friday,light,unknown,210869.0,768869.0,33.01487641647048,35.112537958724204
2023000263,0,3,not urban not junction,non holiday,day,Sunday,severe,dry,183674.0,659095.0,32.02447401429842,34.8256696357102
2023000272,0,10,not urban not junction,non holiday,night,Monday,severe,wet from water,168840.0,609064.0,31.57272898964546,34.671247057163484
2023000274,8400,10,urban not junction,non holiday,day,Sunday,light,dry,182576.0,643728.0,31.885859948733643,34.81463270811523
2023000288,7800,1,urban junction,non holiday,day,Friday,light,dry,199966.0,708702.0,32.47221189104396,34.997112374732886
2023000297,0,7,not urban junction,non holiday,day,Thursday,severe,dry,197986.0,638033.0,31.83489619796991,34.97763359372783
2023000309,0,6,not urban junction,non holiday,day,Thursday,light,dry,214065.0,745761.0,32.80653703672912,35.14687712318021
2023000311,5000,9,urban not junction,non holiday,day,Monday,light,dry,178277.0,661367.0,32.04477895744313,34.76844433934148
2023000317,7900,9,urban junction,non holiday,day,Wednesday,severe,dry,188962.0,667223.0,32.09792601425923,34.88138707965669
2023000318,5000,11,urban not junction,non holiday,night,Tuesday,fatal,dry,177417.0,662207.0,32.05232223373527,34.75930244329459
2023000344,666,9,urban junction,non holiday,day,Thursday,light,dry,185647.0,575134.0,31.267338939075266,34.84944302122015
2023000346,0,8,not urban not junction,non holiday,day,Monday,light,dry,267027.0,792520.0,33.22711231655432,35.71477594978371
2023000377,0,9,not urban not junction,non holiday,night,Monday,fatal,dry,200206.0,695754.0,32.355458168732696,34.99992884476506
2023000395,3000,1,urban junction,non holiday,day,Friday,light,wet from water,218030.0,628506.0,31.74917916017687,35.18938726952144
2023000403,6800,10,urban not junction,holiday workday,night,Thursday,severe,unknown,210121.0,746341.0,32.811740422947075,35.10476057346208
2023000404,5000,7,urban junction,non holiday,night,Monday,light,dry,183582.0,670124.0,32.123928314613515,34.824284513992374
2023000407,7400,12,urban junction,non holiday,night,Thursday,light,dry,187283.0,692584.0,32.32657557686173,34.862746190318816
2023000427,7400,11,urban not junction,non holiday,day,Thursday,severe,unknown,189130.0,690377.0,32.30672553768439,34.88243228064023
2023000437,6100,8,urban not junction,non holiday,night,Sunday,light,dry,184462.0,667028.0,32.09603701534973,34.833722431268136
2023000440,6100,6,urban junction,non holiday,day,Sunday,severe,unknown,184423.0,666612.0,32.09228441286887,34.833324449697145
2023000444,0,11,not urban not junction,non holiday,day,Sunday,light,dry,242280.0,661965.0,32.050690823035126,35.44610860781741
2023000445,7600,8,urban not junction,non holiday,day,Sunday,light,dry,207976.0,759216.0,32.92781176098942,35.08169694944157
2023000470,0,5,not urban not junction,non holiday,night,Saturday,severe,dry,225651.0,729507.0,32.65996980369161,35.27047460363556
2023000481,3000,12,urban junction,non holiday,night,Saturday,light,dry,219796.0,630241.0,31.76482698604928,35.20802628205213
2023000490,0,11,not urban junction,non holiday,day,Thursday,light,dry,217360.0,757495.0,32.91235213100417,35.182031840430604
2023000503,47,7,urban not junction,non holiday,day,Saturday,light,dry,240150.0,732328.0,32.68523043530194,35.425091627107115
2023000517,8400,11,urban junction,non holiday,day,Sunday,light,unknown,182769.0,643441.0,31.88327800561182,34.816683431741836
2023000519,70,5,urban not junction,non holiday,day,Thursday,light,dry,166013.0,633813.0,31.795790394987108,34.64012002685262
2023000520,70,9,urban junction,non holiday,day,Tuesday,severe,dry,166778.0,632339.0,31.782533452762834,34.64827709593039
2023000521,6600,9,urban junction,non holiday,day,Sunday,light,dry,179888.0,656963.0,32.00512199080089,34.78568151021841
2023000536,5000,4,urban junction,non holiday,day,Thursday,severe,dry,178539.0,666134.0,32.08777604134397,34.77101558545993
2023000542,0,12,not urban not junction,non holiday,day,Saturday,severe,unknown,180527.0,653902.0,31.977540418548028,34.792567381476815
2023000545,1761,6,urban not junction,non holiday,day,Thursday,light,dry,176432.0,625712.0,31.723174385620524,34.75049008906816
2023000558,0,11,not urban not junction,non holiday,day,Saturday,severe,other,,,,
2023000585,0,3,not urban not junction,non holiday,day,Wednesday,light,dry,197008.0,658361.0,32.018197754972654,34.966831471544914
2023000598,1020,1,urban not junction,non holiday,night,Saturday,light,dry,193148.0,713672.0,32.51688746370571,34.92444763998432
2023000601,8900,1,urban not junction,non holiday,night,Tuesday,severe,dry,218067.0,751042.0,32.85416765699237,35.189599250394664
